device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor,distance,log_distance,delta_lat,delta_lon,angle,gateway_id,elevation,gw_elevation,delta_elevation,terrain_type,distance_3d,log_distance_3d,fspl,elevation_angle,slope,roughness,terrain_mean,terrain_std,terrain_min,terrain_max,terrain_range,obstruction_ratio,max_obstruction,mean_obstruction,fresnel_obstruction_ratio,min_fresnel_clearance,mean_fresnel_clearance,forest_ratio,water_ratio,residential_ratio,unknown_ratio
board01,16.0729548,108.1499147,a840411eebb44150,16.0740984,108.15253,-109,-14.0,2026-02-17T12:22:46.054315+00:00,922200000,125000,12,307.01268280325843,2.4871563167074746,-0.0011435999999989,-0.0026153000000022,-2.7293727837059034,6,13.0,14.0,-14.5,unknown,307.3549046331524,2.4876401477907577,81.48930531348293,-0.047141779240621,1.598483279708075,1.3646977687385584,14.272727272727272,0.7496555682941201,13.0,15.0,2.0,0.0,-1.5,0.0,0.0909090909090909,-0.3281034096716055,4.029449007109455,0.0,0.0,0.0,1.0
board01,16.0729441,108.149881,a840411eebb44150,16.0740984,108.15253,-108,-12.8,2026-02-17T12:22:31.052469+00:00,922200000,125000,12,310.78314765123054,2.49245746096379,-0.0011542999999996,-0.0026490000000052,-2.730652563124616,6,13.0,14.0,-14.5,unknown,311.1212221369776,2.4929296361252065,81.5950950801719,-0.0465719283067452,1.598483279708075,1.3646977687385584,14.363636363636363,0.8813963377120598,13.0,16.0,3.0,0.0,-1.5,0.0,0.1818181818181818,-0.356129781137561,3.91743292501133,0.0,0.0,0.0,1.0
board01,16.0729309,108.14995190000002,a840411eebb44150,16.0740984,108.15253,-108,-12.5,2026-02-17T12:22:16.049855+00:00,922200000,125000,12,304.5228051711249,2.483619821727898,-0.001167500000001,-0.0025780999999795,-2.7163688078536694,6,13.0,14.0,-14.5,unknown,304.867821964357,2.484111588088595,81.41873411943968,-0.0475257808880231,1.598483279708075,1.3646977687385584,14.272727272727272,0.8624393618641034,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-1.3095013722629538,4.043458421070143,0.0,0.0,0.0,1.0
board01,16.0734873,108.1514427,a840411eebb44150,16.0740984,108.15253,-87,3.0,2026-02-16T03:48:30.007869+00:00,922200000,125000,12,134.5888429909433,2.1290090596777205,-0.0006111000000004,-0.0010872999999946,-2.629556956031224,6,15.0,14.0,-12.5,unknown,135.16806818787043,2.130874106933082,74.35398449632942,-0.0922151824125866,1.0170630994091814,0.8158431221748454,14.4,1.0198039027185568,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.5,6.542862933176006,0.0,0.0,0.0,1.0
board01,16.074712400000003,108.15472610000002,a840411eebb44150,16.0740984,108.15253,-114,-19.5,2026-02-16T03:48:00.018041+00:00,922200000,125000,12,244.37863298470543,2.3880632311020187,0.0006140000000023,0.0021961000000203,0.2726252603966764,6,12.0,14.0,-15.5,unknown,244.86969240694805,2.388935035696593,79.51520307159963,-0.0632146342020798,1.3083235103035082,1.3302631318652711,14.0,1.3333333333333333,12.0,16.0,4.0,0.0,-1.5,0.0,0.2222222222222222,-1.4844911028665455,4.283211870487432,0.0,0.0,0.0,1.0
board01,16.0746397,108.1546994,a840411eebb44150,16.0740984,108.15253,-107,-11.8,2026-02-15T08:25:23.038234+00:00,922200000,125000,12,239.4822992514572,2.379273419122164,0.0005412999999983,0.0021693999999996,0.2445230773502673,6,12.0,14.0,-15.5,unknown,239.98337787181117,2.3801811619259903,79.34012559618758,-0.0644982195669881,1.3083235103035082,1.3302631318652711,14.0,1.224744871391589,12.0,16.0,4.0,0.0,-1.5,0.0,0.25,-1.2002780753993818,4.390008842973807,0.0,0.0,0.0,1.0
board01,16.0740777,108.15319,a840411eebb44150,16.0740984,108.15253,-87,5.5,2026-02-15T08:25:08.042659+00:00,922200000,125000,12,70.55703741176033,1.84854033710766,-2.0700000000317686e-05,0.0006599999999963,-0.0313533585265772,6,16.0,14.0,-11.5,unknown,71.4880796239803,1.8542336308203449,68.82117497407467,-0.1594995123804921,1.70598198498106,1.2302845199383758,15.0,0.816496580927726,14.0,16.0,2.0,0.0,-1.5,0.0,0.0,1.5,7.451790833773985,0.0,0.0,0.0,1.0
board01,16.0735488,108.15176290000002,a840411eebb44150,16.0740984,108.15253,-65,8.5,2026-02-15T08:24:53.037650+00:00,922200000,125000,12,102.23842861010792,2.0096141658221147,-0.0005495999999993,-0.000767099999976,-2.519901873642662,6,16.0,14.0,-11.5,unknown,102.88316813096364,2.012344329225276,71.98338894217329,-0.1113152112089169,0.8309676294021195,0.926066952223218,14.5,1.118033988749895,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,1.5,7.391159060644868,0.0,0.0,0.0,1.0
board01,16.0730426,108.1504366,a840411eebb44150,16.0740984,108.15253,-92,-2.2,2026-02-15T08:24:38.044420+00:00,922200000,125000,12,252.61319029270305,2.402456023661021,-0.0010557999999996,-0.0020933999999925,-2.6744734986206904,6,14.0,14.0,-13.5,unknown,252.973662482594,2.403075308393672,79.7980085255412,-0.0533146668371413,1.2587141249717988,1.0384603988597734,14.333333333333334,0.816496580927726,13.0,16.0,3.0,0.0,-1.5,0.0,0.0,0.1753604717944412,4.9003083614293095,0.0,0.0,0.0,1.0
board01,16.0730253,108.14992069999998,a840411eebb44150,16.0740984,108.15253,-112,-17.0,2026-02-15T08:24:23.044021+00:00,922200000,125000,12,303.2599845495257,2.4818151085110074,-0.0010730999999992,-0.0026093000000173,-2.7514174603858668,6,13.0,14.0,-14.5,unknown,303.6064364090106,2.4823109742961917,81.3827218435916,-0.0477229359376211,1.598483279708075,1.3646977687385584,14.454545454545457,0.8907235428302467,13.0,16.0,3.0,0.0,-1.5,0.0,0.0909090909090909,-0.3000376901783212,3.868767449944174,0.0,0.0,0.0,1.0
